,Date_of_observation,Species_name,Leaves_fresh,Leaves_mature,Leaves_old,Flowers_bud,Flowers_open,Flowers_male,Flowers_Female,Fruits_unripe,Fruits_ripe,Fruits_open,Year,Week
160,2019-03-09,African Tulip-Spathodea campanulata,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,2.0,2019,8
161,2020-11-01,African Tulip-Spathodea campanulata,0.0,2.0,,1.0,1.0,,,0.0,0.0,,2020,39
162,2023-08-06,African Tulip-Spathodea campanulata,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,1.0,2023,28
163,2018-12-01,African Tulip-Spathodea campanulata,0.0,2.0,1.0,-2.0,-2.0,-2.0,-2.0,2.0,-2.0,-2.0,2018,43
164,2022-02-09,African Tulip-Spathodea campanulata,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2022,5
165,2020-10-25,African Tulip-Spathodea campanulata,0.0,2.0,,1.0,1.0,,,0.0,0.0,,2020,38
166,2018-12-01,African Tulip-Spathodea campanulata,1.0,2.0,1.0,1.0,2.0,-2.0,-2.0,2.0,0.0,0.0,2018,43
167,2018-12-01,African Tulip-Spathodea campanulata,0.0,2.0,1.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2018,43
168,2018-12-01,African Tulip-Spathodea campanulata,1.0,2.0,1.0,-2.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,2018,43
169,2020-11-15,African Tulip-Spathodea campanulata,2.0,2.0,,1.0,1.0,,,0.0,0.0,,2020,41
170,2022-01-23,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,2.0,0.0,2022,2
171,2019-03-16,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,1.0,-2.0,-2.0,2.0,1.0,1.0,2019,9
172,2023-08-06,African Tulip-Spathodea campanulata,2.0,2.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,28
173,2022-01-24,African Tulip-Spathodea campanulata,-1.0,-1.0,1.0,1.0,1.0,-2.0,-2.0,-1.0,-1.0,-1.0,2022,3
174,2020-10-11,African Tulip-Spathodea campanulata,0.0,2.0,,1.0,0.0,,,0.0,0.0,,2020,36
175,2018-12-01,African Tulip-Spathodea campanulata,1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,2.0,0.0,0.0,2018,43
176,2018-12-01,African Tulip-Spathodea campanulata,1.0,2.0,0.0,-1.0,2.0,-2.0,-2.0,2.0,1.0,1.0,2018,43
177,2017-01-31,African Tulip-Spathodea campanulata,0.0,2.0,,0.0,1.0,,,1.0,2.0,,2017,3
178,2018-12-01,African Tulip-Spathodea campanulata,0.0,2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,0.0,0.0,2018,43
179,2018-11-26,African Tulip-Spathodea campanulata,1.0,2.0,1.0,2.0,2.0,-2.0,-2.0,-2.0,1.0,0.0,2018,42
180,2019-03-12,African Tulip-Spathodea campanulata,-1.0,2.0,-1.0,-1.0,2.0,-2.0,-2.0,-1.0,-1.0,-1.0,2019,9
181,2021-05-16,African Tulip-Spathodea campanulata,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,1.0,2021,17
182,2023-12-09,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,2.0,-2.0,-2.0,0.0,0.0,0.0,2023,44
183,2023-12-09,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,1.0,-2.0,-2.0,0.0,0.0,0.0,2023,44
184,2023-12-09,African Tulip-Spathodea campanulata,0.0,2.0,0.0,0.0,1.0,-2.0,-2.0,2.0,1.0,0.0,2023,44
